snapshot_date,project_id,dataset_name,table_name,table_type,storage_last_modified_time,total_logical_tb,project_logical_tb,percentage_of_project_logical_tb,billing_model,last_queried,storage_last_modified_date,cost_per_month,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231107,BASE TABLE,2023-11-07 05:01:16.387000 UTC, 0.00000000801720 , 0.00092930560550 , 0.00086270821447 ,LOGICAL,20/10/2025,07/11/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20240705,BASE TABLE,2024-07-05 16:42:04.666000 UTC, 0.00000000797445 , 0.00092930560550 , 0.00085810840890 ,LOGICAL,20/10/2025,05/07/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231214,BASE TABLE,2023-12-14 10:17:22.463000 UTC, 0.00000000796354 , 0.00092930560550 , 0.00085693399046 ,LOGICAL,20/10/2025,14/12/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20240528,BASE TABLE,2024-05-28 10:09:39.100000 UTC, 0.00000000796081 , 0.00092930560550 , 0.00085664038585 ,LOGICAL,20/10/2025,28/05/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20230929,BASE TABLE,2023-09-29 13:30:39.772000 UTC, 0.00000000792534 , 0.00367398529670 , 0.00021571498499 ,LOGICAL,20/10/2025,29/09/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250605,BASE TABLE,2025-06-05 14:06:42.406000 UTC, 0.00000000789987 , 0.00367398529670 , 0.00021502184526 ,LOGICAL,20/10/2025,05/06/2025, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20240704,BASE TABLE,2024-07-04 16:41:48.020000 UTC, 0.00000000789714 , 0.00092930560550 , 0.00084978961160 ,LOGICAL,20/10/2025,04/07/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240921,BASE TABLE,2024-09-21 11:16:14.508000 UTC, 0.00000000789350 , 0.00367398529670 , 0.00021484856033 ,LOGICAL,20/10/2025,21/09/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231126,BASE TABLE,2023-11-26 03:03:38.845000 UTC, 0.00000000782802 , 0.00092930560550 , 0.00084235162813 ,LOGICAL,20/10/2025,26/11/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240117,BASE TABLE,2024-01-17 13:04:09.734000 UTC, 0.00000000780710 , 0.00367398529670 , 0.00021249683626 ,LOGICAL,20/10/2025,17/01/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240120,BASE TABLE,2024-01-20 13:04:11.886000 UTC, 0.00000000780528 , 0.00367398529670 , 0.00021244732628 ,LOGICAL,20/10/2025,20/01/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231213,BASE TABLE,2023-12-13 11:57:54.545000 UTC, 0.00000000776618 , 0.00092930560550 , 0.00083569659028 ,LOGICAL,20/10/2025,13/12/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20241030,BASE TABLE,2024-10-30 11:48:51.219000 UTC, 0.00000000772525 , 0.00367398529670 , 0.00021026888713 ,LOGICAL,20/10/2025,30/10/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250331,BASE TABLE,2025-03-31 12:14:25.779000 UTC, 0.00000000768614 , 0.00367398529670 , 0.00020920442255 ,LOGICAL,20/10/2025,31/03/2025, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20241030,BASE TABLE,2024-10-30 11:33:16.632000 UTC, 0.00000000767614 , 0.00092930560550 , 0.00082600763813 ,LOGICAL,20/10/2025,30/10/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240811,BASE TABLE,2024-08-11 21:01:04.981000 UTC, 0.00000000765885 , 0.00367398529670 , 0.00020846177285 ,LOGICAL,20/10/2025,11/08/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240117,BASE TABLE,2024-01-17 14:20:56.516000 UTC, 0.00000000761338 , 0.00367398529670 , 0.00020722402333 ,LOGICAL,20/10/2025,17/01/2024, $0.00 ,
