snapshot date,project id,dataset name,table name,table type,storage last modified time,total logical tb,project logical tb,percentage of project logical tb,billing model,last queried,table creation date,statement type,user email,user type
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231021,BASE TABLE,2023-10-21 04:01:16.094000 UTC, 0.0000002 , 0.003553 ,0.50%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231021,BASE TABLE,2023-10-21 04:01:19.648000 UTC, 0.0000000 , 0.003553 ,0.09%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231021,BASE TABLE,2023-10-21 04:54:36.424000 UTC, 0.0000002 , 0.000076 ,23.85%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,operations_20231021,BASE TABLE,2023-10-21 05:00:17.512000 UTC, 0.0000000 , 0.000076 ,0.39%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231021,BASE TABLE,2023-10-21 17:13:42.986000 UTC, 0.0000000 , 0.010443 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231021,BASE TABLE,2023-10-21 23:03:31.547000 UTC, 0.0000001 , 0.000901 ,1.36%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20231021,BASE TABLE,2023-10-22 00:01:14.431000 UTC, 0.0000000 , 0.000901 ,0.55%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20231022,BASE TABLE,2023-10-22 01:01:14.855000 UTC, 0.0000000 , 0.000901 ,0.05%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231022,BASE TABLE,2023-10-22 03:01:16.823000 UTC, 0.0000000 , 0.003553 ,0.09%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231022,BASE TABLE,2023-10-22 03:01:17.790000 UTC, 0.0000002 , 0.000076 ,20.81%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231022,BASE TABLE,2023-10-22 03:01:17.797000 UTC, 0.0000000 , 0.000076 ,3.73%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,operations_20231022,BASE TABLE,2023-10-22 03:01:51.504000 UTC, 0.0000000 , 0.000076 ,0.10%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20231022,BASE TABLE,2023-10-22 03:01:53.230000 UTC, 0.0000000 , 0.003553 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,operations_20231022,BASE TABLE,2023-10-22 04:01:15.495000 UTC, 0.0000000 , 0.010443 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231022,BASE TABLE,2023-10-22 04:01:17.038000 UTC, 0.0000001 , 0.010443 ,0.09%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231022,BASE TABLE,2023-10-22 04:01:18.238000 UTC, 0.0000002 , 0.003553 ,0.50%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231022,BASE TABLE,2023-10-22 08:01:11.007000 UTC, 0.0000000 , 0.010443 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231022,BASE TABLE,2023-10-23 00:03:52.181000 UTC, 0.0000001 , 0.000901 ,0.80%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231023,BASE TABLE,2023-10-23 03:01:15.798000 UTC, 0.0000000 , 0.000076 ,3.73%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20231023,BASE TABLE,2023-10-23 03:01:49.106000 UTC, 0.0000000 , 0.003553 ,0.01%,LOGICAL,08/09/2025,,,,
